X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
145.156407,-37.962919,35591,0,0,976,HEATHERTON/VIEW,INT,M,89A01,0,0,0,0,,OPERATIONAL,,,0,0
145.152342,-37.951945,35592,0,0,436,SPRINGVALE/WINDSOR,INT,M,079K10,0,0,0,0,,OPERATIONAL,"BUS PRI,SB PRI",,0,0
145.163753,-37.903825,35593,0,0,450,FERNTREE GULLY/BRANDON PK,INT,M,071C09,0,0,0,0,,OPERATIONAL,"ASB WARN,FIRE LNK",,0,0
145.194728,-38.072144,35594,0,0,620,FRANKSTON-DANDENONG/THOMPSONS,RBT MTR,M,098K07,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
145.289804,-37.799703,35595,0,0,629,DORSET/MT DANDENONG,INT,M,051B04,0,0,0,0,,OPERATIONAL,"FIRE LNK,SRLC",,0,0
145.272628,-37.800823,35596,0,0,634,MT DANDENONG/BAYSWATER/WICKLOW,INT,M,050H04,0,0,0,0,,OPERATIONAL,,,0,0
145.230297,-37.804538,35597,0,0,910,WARRANDYTE/LOUGHNAN,INT,M,049H05,0,0,0,0,,OPERATIONAL,,,0,0
145.136807,-37.960525,35598,0,0,932,HEATHERTON/WESTALL,INT,M,079G12,0,0,0,0,,OPERATIONAL,PARTFCRT,,0,0
145.138333,-37.951828,35599,0,0,941,WESTALL NR LIBBETT,POS,M,079G10,0,0,0,0,,OPERATIONAL,,,0,0
145.141983,-37.99058,35600,0,0,944,LWR DANDENONG/CTR DANDENONG,INT,M,088H08,0,0,0,0,,OPERATIONAL,,,0,0
144.919669,-37.766578,35601,0,0,1006,PUCKLE/MOORE/MARGARET/HOLMES,INT,M,028H07,0,0,0,0,,OPERATIONAL,RAIL LNK,,0,0
144.979346,-37.793121,35602,0,0,2101,EASTERN HWY/QUEENS/BRUNSWICK,INT,M,2CB04,0,0,0,0,,OPERATIONAL,"Bluetooth,RLC,SRLC,TRAM PRI",,0,0
144.963005,-37.71869,35603,0,0,2153,SYDNEY RD/BOUNDARY/QUEENS,INT,M,017H06,0,0,0,0,,OPERATIONAL,,,0,0
144.958231,-37.689554,35604,0,0,2157,SYDNEY/MAHONEYS/CAMP,INT,M,007F10,0,0,0,0,,OPERATIONAL,SRLC,,0,0
144.927757,-37.774397,35605,0,0,3833,MT ALEXANDER NR FENTON,POS,M,028K09,0,0,0,0,,OPERATIONAL,TRAM PRI,,0,0
144.915223,-37.756827,35606,0,0,3834,BUCKLEY/ROSE/RUSSELL,INT,M,028G04,0,0,0,0,,OPERATIONAL,"BUS PRI,PUFFIN,RAIL LNK",,0,0
144.9298,-37.777611,35607,0,0,3835,MT ALEXANDER NR BARODA,POS,M,028K10,0,0,0,0,,OPERATIONAL,TRAM PRI,,0,0
145.026036,-37.851098,35608,0,0,3840,MALVERN NR MERCER,POS,M,059B06,0,0,0,0,,OPERATIONAL,TRAM PRI,,0,0
145.032212,-37.840015,35609,0,0,3841,GLENFERRIE NR KOOYONG STN,POS,M,059C03,0,0,0,0,,OPERATIONAL,"RAIL LNK,TRAM PRI,UPS",,0,0
145.028552,-37.861096,35610,0,0,3842,GLENFERRIE NR EDSALL,POS,M,059B09,0,0,0,0,,OPERATIONAL,TRAM PRI,,0,0
